subtype,reference,name,segment,segments,protein_coding,residue_offset,domains,notes
A,KX858757.1,F,1,1..1725,1,0,"[{""name"": ""Signal peptide"", ""abbr"": ""SP"", ""ranges"": [[1, 25]]}, {""name"": ""F0"", ""abbr"": ""F0"", ""ranges"": [[26, 574]]}, {""name"": ""F2"", ""abbr"": ""F2"", ""ranges"": [[26, 109]]}, {""name"": ""p27"", ""abbr"": ""p27"", ""ranges"": [[110, 136]]}, {""name"": ""F1"", ""abbr"": ""F1"", ""ranges"": [[137, 574]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[26, 524]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[525, 550]]}, {""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[551, 574]]}]",
B,NC_001781.1,NS1,1,99..518,1,0,"[{""name"": ""DLNP; interaction with MAP1B"", ""abbr"": ""MAP1B"", ""ranges"": [[136, 139]]}]",non-structural protein 1
B,NC_001781.1,NS2,1,626..1000,1,0,"[{""name"": ""DLNP; interaction with MAP1B"", ""abbr"": ""MAP1B"", ""ranges"": [[121, 124]]}]",non-structural protein 2
B,NC_001781.1,N,1,1140..2315,1,0,"[{""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[31, 252]]}, {""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[244, 290]]}, {""name"": ""Phosphoprotein interaction"", ""abbr"": ""P"", ""ranges"": [[338, 364]]}]",nucleoprotein
B,NC_001781.1,P,1,2348..3073,1,0,"[{""name"": ""Binding to monomeric RNA-free nucleoprotein"", ""abbr"": ""N"", ""ranges"": [[1, 30]]}, {""name"": ""Viral particle assembly"", ""abbr"": ""Assembly"", ""ranges"": [[39, 57]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[53, 79]]}, {""name"": ""Binding to host PP1"", ""abbr"": ""PP1"", ""ranges"": [[81, 87]]}, {""name"": ""Binding to M2-1"", ""abbr"": ""M2-1"", ""ranges"": [[90, 110]]}, {""name"": ""Oligomerization, binding to RdRp L"", ""abbr"": ""RdRp L"", ""ranges"": [[120, 160]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[200, 241]]}, {""name"": ""Binding to RdRp L"", ""abbr"": ""RdRp L"", ""ranges"": [[216, 232]]}, {""name"": ""Binding to N-RNA complex"", ""abbr"": ""N-RNA"", ""ranges"": [[232, 241]]}]",phosphoprotein
B,NC_001781.1,M,1,3263..4033,1,0,"[{""name"": ""Interaction with M2-1"", ""abbr"": ""M2-1"", ""ranges"": [[1, 110]]}, {""name"": ""Nuclear targeting/binding to host importin KPNB1"", ""abbr"": ""KPNB1"", ""ranges"": [[110, 183]]}, {""name"": ""Nuclear export signal"", ""abbr"": ""NEP"", ""ranges"": [[194, 206]]}]",matrix protein
B,NC_001781.1,SH,1,4303..4500,1,0,"[{""name"": ""Intravirion"", ""abbr"": ""IV"", ""ranges"": [[1, 20]]}, {""name"": ""Helical; Signal-anchor for M2"", ""abbr"": ""Helical"", ""ranges"": [[21, 44]]}, {""name"": ""Virion surface"", ""abbr"": ""Surface"", ""ranges"": [[45, 64]]}, {""name"": ""Interaction with host BCAP31"", ""abbr"": ""BCAP31"", ""ranges"": [[6, 15]]}, {""name"": ""Interaction with small-molecule inhibitor"", ""abbr"": ""SM"", ""ranges"": [[38, 43]]}]",small hydrophobic protein
B,NC_001781.1,G,1,4690..5589,1,0,"[{""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[1, 37]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[38, 66]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[67, 299]]}, {""name"": ""Mature secreted glycoprotein"", ""abbr"": ""Secreted"", ""ranges"": [[66, 299]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[89, 160]]}, {""name"": ""Binding to host heparan sulfate"", ""abbr"": ""HS"", ""ranges"": [[187, 198]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[189, 299]]}]",attachment glycoprotein
B,NC_001781.1,F,1,5666..7390,1,0,"[{""name"": ""Signal peptide"", ""abbr"": ""SP"", ""ranges"": [[1, 25]]}, {""name"": ""F0"", ""abbr"": ""F0"", ""ranges"": [[26, 574]]}, {""name"": ""F2"", ""abbr"": ""F2"", ""ranges"": [[26, 109]]}, {""name"": ""p27"", ""abbr"": ""p27"", ""ranges"": [[110, 136]]}, {""name"": ""F1"", ""abbr"": ""F1"", ""ranges"": [[137, 574]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[26, 524]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[525, 550]]}, {""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[551, 574]]}]",fusion glycoprotein
B,NC_001781.1,M2-1,1,7618..8205,1,0,"[{""name"": ""Zinc finger"", ""abbr"": ""ZF"", ""ranges"": [[1, 28]]}, {""name"": ""Oligomerization"", ""abbr"": ""Oligo"", ""ranges"": [[32, 49]]}, {""name"": ""Globular core"", ""abbr"": ""GC"", ""ranges"": [[76, 171]]}, {""name"": ""Phosphoprotein binding"", ""abbr"": ""P"", ""ranges"": [[126, 163]]}, {""name"": ""Disordered"", ""abbr"": ""DO"", ""ranges"": [[172, 194]]}]","ORF 1, matrix protein 2"
B,NC_001781.1,M2-2,1,8171..8443,1,0,[],"ORF 2, RNA processivity factor"
B,NC_001781.1,L,1,8509..15009,1,0,"[{""name"": ""RdRp catalytic"", ""abbr"": ""RdRp"", ""ranges"": [[693, 877]]}, {""name"": ""Mononegavirus-type SAM-dependent 2'-O-MTase"", ""abbr"": ""2OMT"", ""ranges"": [[1820, 2008]]}, {""name"": ""GDP polyribonucleotidyltransferase"", ""abbr"": ""GDPase"", ""ranges"": [[968, 1460]]}, {""name"": ""Substrate binding for mRNA (nucleoside-2'-O-)-methyltransferase 2"", ""abbr"": ""2OMT 2"", ""ranges"": [[1853, 1857]]}]",polymerase protein
B,KX858756.1,F,1,1..1725,1,0,"[{""name"": ""Signal peptide"", ""abbr"": ""SP"", ""ranges"": [[1, 25]]}, {""name"": ""F0"", ""abbr"": ""F0"", ""ranges"": [[26, 574]]}, {""name"": ""F2"", ""abbr"": ""F2"", ""ranges"": [[26, 109]]}, {""name"": ""p27"", ""abbr"": ""p27"", ""ranges"": [[110, 136]]}, {""name"": ""F1"", ""abbr"": ""F1"", ""ranges"": [[137, 574]]}, {""name"": ""Extracellular"", ""abbr"": ""EC"", ""ranges"": [[26, 524]]}, {""name"": ""Transmembrane, Helical"", ""abbr"": ""TM"", ""ranges"": [[525, 550]]}, {""name"": ""Cytoplasmic"", ""abbr"": ""Cyto"", ""ranges"": [[551, 574]]}]",
